USERID,PERSON_ID_EXTERNAL,STARTDATE,ORIGINALSTARTDATE,ISPRIMARY,SENIORITYDATE,JOBNUMBER,
30000001            ,30000001            ,19/07/2017,19/07/2017,True,,,
30000002            ,30000002            ,19/07/2017,19/07/2017,True,,,
30000003            ,30000003            ,19/07/2017,19/07/2017,True,,,
30000004            ,30000004            ,19/07/2017,19/07/2017,True,,,
30000005            ,30000005            ,19/07/2017,19/07/2017,True,,,
30000006            ,30000006            ,19/07/2017,19/07/2017,True,,,
30000007            ,30000007            ,19/07/2017,19/07/2017,True,,,
30000008            ,30000008            ,19/07/2017,19/07/2017,True,,,
30000009            ,30000009            ,19/07/2017,19/07/2017,True,,,
30000010            ,30000010            ,19/07/2017,19/07/2017,True,,,
30000011            ,30000011            ,19/07/2017,19/07/2017,True,,,
30000012            ,30000012            ,19/07/2017,19/07/2017,True,,,
30000013            ,30000013            ,19/07/2017,19/07/2017,True,,,
30000014            ,30000014            ,19/07/2017,19/07/2017,True,,,
30000015            ,30000015            ,19/07/2017,19/07/2017,True,,,
30000016            ,30000016            ,19/07/2017,19/07/2017,True,,,
30000017            ,30000017            ,18/07/2017,18/07/2017,True,,,
30000019            ,30000019            ,18/07/2017,18/07/2017,True,,,
30000020            ,30000020            ,18/07/2017,18/07/2017,True,,,
30000021            ,30000021            ,18/07/2017,18/07/2017,True,,,
30000022            ,30000022            ,18/07/2017,18/07/2017,True,,,
30000023            ,30000023            ,18/07/2017,18/07/2017,True,,,
30000024            ,30000024            ,18/07/2017,18/07/2017,True,,,
30000025            ,30000025            ,18/07/2017,18/07/2017,True,,,
30000026            ,30000026            ,18/07/2017,18/07/2017,True,,,
30000027            ,30000027            ,18/07/2017,18/07/2017,True,,,
30000028            ,30000028            ,18/07/2017,18/07/2017,True,,,
30000030            ,30000030            ,18/07/2017,18/07/2017,True,,,
30000031            ,30000031            ,18/07/2017,18/07/2017,True,,,
30000032            ,30000032            ,18/07/2017,18/07/2017,True,,,
30000033            ,30000033            ,18/07/2017,18/07/2017,True,,,
30000034            ,30000034            ,18/07/2017,18/07/2017,True,,,
30000035            ,30000035            ,18/07/2017,18/07/2017,True,,,
30000036            ,30000036            ,18/07/2017,18/07/2017,True,,,
30000037            ,30000037            ,18/07/2017,18/07/2017,True,,,
30000038            ,30000038            ,18/07/2017,18/07/2017,True,,,
30000039            ,30000039            ,18/07/2017,18/07/2017,True,,,
30000040            ,30000040            ,18/07/2017,18/07/2017,True,,,
30000041            ,30000041            ,18/07/2017,18/07/2017,True,,,
30000042            ,30000042            ,18/07/2017,18/07/2017,True,,,
30000043            ,30000043            ,18/07/2017,18/07/2017,True,,,
30000044            ,30000044            ,18/07/2017,18/07/2017,True,,,
30000045            ,30000045            ,18/07/2017,18/07/2017,True,,,
30000046            ,30000046            ,18/07/2017,18/07/2017,True,,,
30000047            ,30000047            ,18/07/2017,18/07/2017,True,,,
30000048            ,30000048            ,18/07/2017,18/07/2017,True,,,
30000049            ,30000049            ,18/07/2017,18/07/2017,True,,,
30000050            ,30000050            ,18/07/2017,18/07/2017,True,,,
30000051            ,30000051            ,18/07/2017,18/07/2017,True,,,
30000052            ,30000052            ,18/07/2017,18/07/2017,True,,,
30000053            ,30000053            ,18/07/2017,18/07/2017,True,,,
30000054            ,30000054            ,18/07/2017,18/07/2017,True,,,
30000055            ,30000055            ,18/07/2017,18/07/2017,True,,,
30000056            ,30000056            ,18/07/2017,18/07/2017,True,,,
30000057            ,30000057            ,18/07/2017,18/07/2017,True,,,
30000058            ,30000058            ,18/07/2017,18/07/2017,True,,,
30000059            ,30000059            ,18/07/2017,18/07/2017,True,,,
30000060            ,30000060            ,18/07/2017,18/07/2017,True,,,
30000061            ,30000061            ,18/07/2017,18/07/2017,True,,,
30000062            ,30000062            ,18/07/2017,18/07/2017,True,,,
30000063            ,30000063            ,11/07/2017,11/07/2017,True,,,
30000064            ,30000064            ,12/07/2017,12/07/2017,True,,,
30000065            ,30000065            ,12/07/2017,12/07/2017,True,,,
30000066            ,30000066            ,12/07/2017,12/07/2017,True,,,
30000067            ,30000067            ,12/07/2017,12/07/2017,True,,,
30000068            ,30000068            ,11/07/2017,11/07/2017,True,,,
30000069            ,30000069            ,11/07/2017,11/07/2017,True,,,
30000070            ,30000070            ,12/07/2017,12/07/2017,True,,,
30000071            ,30000071            ,11/07/2017,11/07/2017,True,,,
30000072            ,30000072            ,11/07/2017,11/07/2017,True,,,
30000073            ,30000073            ,11/07/2017,11/07/2017,True,,,
