USERID,CUSTOM_DOUBLE1,ENDATE,CUSTOM_DOUBLE2,CUSTOM_DOUBLE3,START_DATE,PAY_GROUP,EVENT_REASON,CUSTOMSTRING21,CUSTOMSTRING22,CUSTOMSTRING23,
30000001            ,,,,,03/08/2017,P1,99P1,,,,
30000002            ,,,,,03/08/2017,P1,99P1,,,,
30000003            ,,,,,03/08/2017,P1,99P1,,,,
30000004            ,,,,,03/08/2017,P1,99P1,,,,
30000005            ,,,,,03/08/2017,P1,99P1,,,,
30000006            ,,,,,03/08/2017,P1,99P1,,,,
30000007            ,,,,,03/08/2017,P1,99P1,,,,
30000008            ,,,,,03/08/2017,P1,99P1,,,,
30000009            ,,,,,03/08/2017,P1,99P1,,,,
30000010            ,,,,,03/08/2017,P1,99P1,,,,
30000011            ,,,,,03/08/2017,P1,99P1,,,,
30000012            ,,,,,03/08/2017,P1,99P1,,,,
30000013            ,,,,,03/08/2017,P1,99P1,,,,
30000014            ,,,,,03/08/2017,P1,99P1,,,,
30000015            ,,,,,03/08/2017,P1,99P1,,,,
30000016            ,,,,,03/08/2017,P1,99P1,,,,
30000017            ,,,,,03/08/2017,P1,99P1,,,,
30000019            ,,,,,03/08/2017,P1,99P1,,,,
30000020            ,,,,,03/08/2017,P1,99P1,,,,
30000021            ,,,,,03/08/2017,P1,99P1,,,,
30000022            ,,,,,03/08/2017,P1,99P1,,,,
30000023            ,,,,,03/08/2017,P1,99P1,,,,
30000024            ,,,,,03/08/2017,P1,99P1,,,,
30000025            ,,,,,03/08/2017,P1,99P1,,,,
30000026            ,,,,,03/08/2017,P1,99P1,,,,
30000027            ,,,,,03/08/2017,P1,99P1,,,,
30000028            ,,,,,03/08/2017,P1,99P1,,,,
30000030            ,,,,,03/08/2017,P1,99P1,,,,
30000031            ,,,,,03/08/2017,P1,99P1,,,,
30000032            ,,,,,03/08/2017,P1,99P1,,,,
30000033            ,,,,,03/08/2017,P1,99P1,,,,
30000034            ,,,,,03/08/2017,P1,99P1,,,,
30000035            ,,,,,03/08/2017,P1,99P1,,,,
30000036            ,,,,,03/08/2017,P1,99P1,,,,
30000037            ,,,,,03/08/2017,P1,99P1,,,,
30000038            ,,,,,03/08/2017,P1,99P1,,,,
30000039            ,,,,,03/08/2017,P1,99P1,,,,
30000040            ,,,,,03/08/2017,P1,99P1,,,,
30000041            ,,,,,03/08/2017,P1,99P1,,,,
30000042            ,,,,,03/08/2017,P1,99P1,,,,
30000043            ,,,,,03/08/2017,P1,99P1,,,,
30000044            ,,,,,03/08/2017,P1,99P1,,,,
30000045            ,,,,,03/08/2017,P1,99P1,,,,
30000046            ,,,,,03/08/2017,P1,99P1,,,,
30000047            ,,,,,03/08/2017,P1,99P1,,,,
30000048            ,,,,,03/08/2017,P1,99P1,,,,
30000049            ,,,,,03/08/2017,P1,99P1,,,,
30000050            ,,,,,03/08/2017,P1,99P1,,,,
30000051            ,,,,,03/08/2017,P1,99P1,,,,
30000052            ,,,,,03/08/2017,P1,99P1,,,,
30000053            ,,,,,03/08/2017,P1,99P1,,,,
30000054            ,,,,,03/08/2017,P1,99P1,,,,
30000055            ,,,,,03/08/2017,P1,99P1,,,,
30000056            ,,,,,03/08/2017,P1,99P1,,,,
30000057            ,,,,,03/08/2017,P1,99P1,,,,
30000058            ,,,,,03/08/2017,P1,99P1,,,,
30000059            ,,,,,03/08/2017,P1,99P1,,,,
30000060            ,,,,,03/08/2017,P1,99P1,,,,
30000061            ,,,,,03/08/2017,P1,99P1,,,,
30000062            ,,,,,03/08/2017,P1,99P1,,,,
30000063            ,,,,,03/08/2017,P1,99P1,,,,
30000064            ,,,,,03/08/2017,P1,99P1,,,,
30000065            ,,,,,03/08/2017,P1,99P1,,,,
30000066            ,,,,,03/08/2017,P1,99P1,,,,
30000067            ,,,,,03/08/2017,P1,99P1,,,,
30000068            ,,,,,03/08/2017,P1,99P1,,,,
30000069            ,,,,,03/08/2017,P1,99P1,,,,
30000070            ,,,,,03/08/2017,P1,99P1,,,,
30000071            ,,,,,03/08/2017,P1,99P1,,,,
30000072            ,,,,,03/08/2017,P1,99P1,,,,
30000073            ,,,,,03/08/2017,P1,99P1,,,,
30000074            ,,,,,03/08/2017,P1,99P1,,,,
30000075            ,,,,,03/08/2017,P1,99P1,,,,
30000077            ,,,,,03/08/2017,P1,99P1,,,,
30000078            ,,,,,03/08/2017,P1,99P1,,,,
30000079            ,,,,,03/08/2017,P1,99P1,,,,
30000080            ,,,,,03/08/2017,P1,99P1,,,,
30000081            ,,,,,03/08/2017,P1,99P1,,,,
30000082            ,,,,,03/08/2017,P1,99P1,,,,
30000083            ,,,,,03/08/2017,P1,99P1,,,,
30000084            ,,,,,03/08/2017,P1,99P1,,,,
30000085            ,,,,,03/08/2017,P1,99P1,,,,
30000086            ,,,,,03/08/2017,P1,99P1,,,,
30000087            ,,,,,03/08/2017,P1,99P1,,,,
30000088            ,,,,,03/08/2017,P1,99P1,,,,
30000089            ,,,,,03/08/2017,P1,99P1,,,,
30000090            ,,,,,03/08/2017,P1,99P1,,,,
30000091            ,,,,,03/08/2017,P1,99P1,,,,
30000092            ,,,,,03/08/2017,P1,99P1,,,,
30000093            ,,,,,03/08/2017,P1,99P1,,,,
30000094            ,,,,,03/08/2017,P1,99P1,,,,
30000095            ,,,,,03/08/2017,P1,99P1,,,,
30000096            ,,,,,03/08/2017,P1,99P1,,,,
30000097            ,,,,,03/08/2017,P1,99P1,,,,
30000098            ,,,,,03/08/2017,P1,99P1,,,,
30000099            ,,,,,03/08/2017,P1,99P1,,,,
30000100            ,,,,,03/08/2017,P1,99P1,,,,
30000101            ,,,,,03/08/2017,P1,99P1,,,,
30000102            ,,,,,03/08/2017,P1,99P1,,,,
30000103            ,,,,,03/08/2017,P1,99P1,,,,
30000104            ,,,,,03/08/2017,P1,99P1,,,,
30000105            ,,,,,03/08/2017,P1,99P1,,,,
30000106            ,,,,,03/08/2017,P1,99P1,,,,
30000107            ,,,,,03/08/2017,P1,99P1,,,,
30000109            ,,,,,03/08/2017,P1,99P1,,,,
30000110            ,,,,,03/08/2017,P1,99P1,,,,
30000111            ,,,,,03/08/2017,P1,99P1,,,,
30000113            ,,,,,03/08/2017,P1,99P1,,,,
30000114            ,,,,,03/08/2017,P1,99P1,,,,
30000115            ,,,,,03/08/2017,P1,99P1,,,,
30000117            ,,,,,03/08/2017,P1,99P1,,,,
30000118            ,,,,,03/08/2017,P1,99P1,,,,
30000119            ,,,,,03/08/2017,P1,99P1,,,,
30000120            ,,,,,03/08/2017,P1,99P1,,,,
30000121            ,,,,,03/08/2017,P1,99P1,,,,
30000122            ,,,,,03/08/2017,P1,99P1,,,,
30000123            ,,,,,03/08/2017,P1,99P1,,,,
30000124            ,,,,,03/08/2017,P1,99P1,,,,
30000125            ,,,,,03/08/2017,P1,99P1,,,,
30000126            ,,,,,03/08/2017,P1,99P1,,,,
30000127            ,,,,,03/08/2017,P1,99P1,,,,
30000128            ,,,,,03/08/2017,P1,99P1,,,,
30000129            ,,,,,03/08/2017,P1,99P1,,,,
30000130            ,,,,,03/08/2017,P1,99P1,,,,
30000131            ,,,,,03/08/2017,P1,99P1,,,,
30000132            ,,,,,03/08/2017,P1,99P1,,,,
30000133            ,,,,,03/08/2017,P1,99P1,,,,
30000134            ,,,,,03/08/2017,P1,99P1,,,,
30000135            ,,,,,03/08/2017,P1,99P1,,,,
30000136            ,,,,,03/08/2017,P1,99P1,,,,
30000137            ,,,,,03/08/2017,P1,99P1,,,,
30000138            ,,,,,03/08/2017,P1,99P1,,,,
30000139            ,,,,,03/08/2017,P1,99P1,,,,
30000140            ,,,,,03/08/2017,P1,99P1,,,,
30000141            ,,,,,03/08/2017,P1,99P1,,,,
30000142            ,,,,,03/08/2017,P1,99P1,,,,
30000143            ,,,,,03/08/2017,P1,99P1,,,,
30000144            ,,,,,03/08/2017,P1,99P1,,,,
30000145            ,,,,,03/08/2017,P1,99P1,,,,
30000146            ,,,,,03/08/2017,P1,99P1,,,,
