USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000001            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000002            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000003            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000004            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000005            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000006            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000007            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000008            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000009            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000010            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000011            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000012            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000013            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000014            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000015            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000016            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000017            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000019            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000020            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000021            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000022            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000023            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000024            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000025            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000026            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000027            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000028            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000030            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000031            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000032            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000033            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000034            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000035            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000036            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000037            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
