OPERATOR,WORKER,JOBCOUNTRYCODE,EFECTIVESTARTDATE,
,30000001            ,PER,04/08/2017,
,30000002            ,PER,04/08/2017,
,30000003            ,PER,04/08/2017,
,30000004            ,PER,04/08/2017,
,30000005            ,PER,04/08/2017,
,30000006            ,PER,04/08/2017,
,30000007            ,PER,04/08/2017,
,30000008            ,PER,04/08/2017,
,30000009            ,PER,04/08/2017,
,30000010            ,PER,04/08/2017,
,30000011            ,PER,04/08/2017,
,30000012            ,PER,04/08/2017,
,30000013            ,PER,04/08/2017,
,30000014            ,PER,04/08/2017,
,30000015            ,PER,04/08/2017,
,30000016            ,PER,04/08/2017,
,30000017            ,PER,04/08/2017,
,30000019            ,PER,04/08/2017,
,30000020            ,PER,04/08/2017,
,30000021            ,PER,04/08/2017,
,30000022            ,PER,04/08/2017,
,30000023            ,PER,04/08/2017,
,30000024            ,PER,04/08/2017,
,30000025            ,PER,04/08/2017,
,30000026            ,PER,04/08/2017,
,30000027            ,PER,04/08/2017,
,30000028            ,PER,04/08/2017,
,30000030            ,PER,04/08/2017,
,30000031            ,PER,04/08/2017,
,30000032            ,PER,04/08/2017,
,30000033            ,PER,04/08/2017,
,30000034            ,PER,04/08/2017,
,30000035            ,PER,04/08/2017,
,30000036            ,PER,04/08/2017,
,30000037            ,PER,04/08/2017,
,30000038            ,PER,04/08/2017,
,30000039            ,PER,04/08/2017,
,30000040            ,PER,04/08/2017,
,30000041            ,PER,04/08/2017,
,30000042            ,PER,04/08/2017,
,30000043            ,PER,04/08/2017,
,30000044            ,PER,04/08/2017,
,30000045            ,PER,04/08/2017,
,30000046            ,PER,04/08/2017,
,30000047            ,PER,04/08/2017,
,30000048            ,PER,04/08/2017,
,30000049            ,PER,04/08/2017,
,30000050            ,PER,04/08/2017,
,30000051            ,PER,04/08/2017,
,30000052            ,PER,04/08/2017,
,30000053            ,PER,04/08/2017,
,30000054            ,PER,04/08/2017,
,30000055            ,PER,04/08/2017,
,30000056            ,PER,04/08/2017,
,30000057            ,PER,04/08/2017,
,30000058            ,PER,04/08/2017,
,30000059            ,PER,04/08/2017,
,30000060            ,PER,04/08/2017,
,30000061            ,PER,04/08/2017,
,30000062            ,PER,04/08/2017,
,30000063            ,PER,04/08/2017,
,30000064            ,PER,04/08/2017,
,30000065            ,PER,04/08/2017,
,30000066            ,PER,04/08/2017,
,30000067            ,PER,04/08/2017,
,30000068            ,PER,04/08/2017,
,30000069            ,PER,04/08/2017,
,30000070            ,PER,04/08/2017,
,30000071            ,PER,04/08/2017,
,30000072            ,PER,04/08/2017,
,30000073            ,PER,04/08/2017,
,30000074            ,PER,04/08/2017,
,30000075            ,PER,04/08/2017,
,30000077            ,PER,04/08/2017,
,30000078            ,PER,04/08/2017,
,30000079            ,PER,04/08/2017,
,30000080            ,PER,04/08/2017,
,30000081            ,PER,04/08/2017,
,30000082            ,PER,04/08/2017,
,30000083            ,PER,04/08/2017,
,30000084            ,PER,04/08/2017,
,30000085            ,PER,04/08/2017,
,30000086            ,PER,04/08/2017,
,30000087            ,PER,04/08/2017,
,30000088            ,PER,04/08/2017,
,30000089            ,PER,04/08/2017,
,30000090            ,PER,04/08/2017,
,30000091            ,PER,04/08/2017,
,30000092            ,PER,04/08/2017,
,30000093            ,PER,04/08/2017,
,30000094            ,PER,04/08/2017,
,30000095            ,PER,04/08/2017,
,30000096            ,PER,04/08/2017,
,30000097            ,PER,04/08/2017,
,30000098            ,PER,04/08/2017,
,30000100            ,PER,04/08/2017,
,30000101            ,PER,04/08/2017,
,30000102            ,PER,04/08/2017,
,30000103            ,PER,04/08/2017,
,30000104            ,PER,04/08/2017,
,30000105            ,PER,04/08/2017,
,30000106            ,PER,04/08/2017,
,30000107            ,PER,04/08/2017,
,30000109            ,PER,04/08/2017,
,30000110            ,PER,04/08/2017,
,30000111            ,PER,04/08/2017,
,30000113            ,PER,04/08/2017,
,30000114            ,PER,04/08/2017,
,30000115            ,PER,04/08/2017,
,30000117            ,PER,04/08/2017,
,30000118            ,PER,04/08/2017,
,30000119            ,PER,04/08/2017,
,30000120            ,PER,04/08/2017,
,30000121            ,PER,04/08/2017,
,30000122            ,PER,04/08/2017,
,30000123            ,PER,04/08/2017,
,30000124            ,PER,04/08/2017,
,30000125            ,PER,04/08/2017,
,30000126            ,PER,04/08/2017,
,30000127            ,PER,04/08/2017,
,30000128            ,PER,04/08/2017,
,30000129            ,PER,04/08/2017,
,30000130            ,PER,04/08/2017,
,30000131            ,PER,04/08/2017,
,30000132            ,PER,04/08/2017,
,30000133            ,PER,04/08/2017,
,30000134            ,PER,04/08/2017,
,30000135            ,PER,04/08/2017,
,30000136            ,PER,04/08/2017,
,30000137            ,PER,04/08/2017,
,30000138            ,PER,04/08/2017,
,30000139            ,PER,04/08/2017,
,30000140            ,PER,04/08/2017,
,30000141            ,PER,04/08/2017,
,30000142            ,PER,04/08/2017,
,30000143            ,PER,04/08/2017,
,30000144            ,PER,04/08/2017,
,30000145            ,PER,04/08/2017,
,30000146            ,PER,04/08/2017,
,30000147            ,PER,04/08/2017,
,30000148            ,PER,04/08/2017,
,30000149            ,PER,04/08/2017,
,30000150            ,PER,04/08/2017,
,30000151            ,PER,04/08/2017,
,30000152            ,PER,04/08/2017,
,30000153            ,PER,04/08/2017,
,30000154            ,PER,04/08/2017,
,30000155            ,PER,04/08/2017,
,30000156            ,PER,04/08/2017,
,30000157            ,PER,04/08/2017,
,30000158            ,PER,04/08/2017,
,30000159            ,PER,04/08/2017,
,30000161            ,PER,04/08/2017,
,30000162            ,PER,04/08/2017,
,30000163            ,PER,04/08/2017,
,30000164            ,PER,04/08/2017,
,30000165            ,PER,04/08/2017,
,30000166            ,PER,04/08/2017,
,30000167            ,PER,04/08/2017,
,30000169            ,PER,04/08/2017,
,30000170            ,PER,04/08/2017,
,30000171            ,PER,04/08/2017,
,30000172            ,PER,04/08/2017,
,30000173            ,PER,04/08/2017,
,30000174            ,PER,04/08/2017,
,30000175            ,PER,04/08/2017,
,30000176            ,PER,04/08/2017,
,30000177            ,PER,04/08/2017,
,30000178            ,PER,04/08/2017,
,30000179            ,PER,04/08/2017,
,30000180            ,PER,04/08/2017,
,30000181            ,PER,04/08/2017,
,30000182            ,PER,04/08/2017,
,30000183            ,PER,04/08/2017,
,30000184            ,PER,04/08/2017,
,30000185            ,PER,04/08/2017,
,30000186            ,PER,04/08/2017,
,30000187            ,PER,04/08/2017,
,30000188            ,PER,04/08/2017,
,30000189            ,PER,04/08/2017,
,30000190            ,PER,04/08/2017,
,30000191            ,PER,04/08/2017,
,30000192            ,PER,04/08/2017,
,30000193            ,PER,04/08/2017,
,30000194            ,PER,04/08/2017,
,30000195            ,PER,04/08/2017,
,30000196            ,PER,04/08/2017,
,30000197            ,PER,04/08/2017,
,30000198            ,PER,04/08/2017,
,30000199            ,PER,04/08/2017,
,30000200            ,PER,04/08/2017,
,30000201            ,PER,04/08/2017,
,30000202            ,PER,04/08/2017,
,30000203            ,PER,04/08/2017,
,30000204            ,PER,04/08/2017,
,30000205            ,PER,04/08/2017,
,30000206            ,PER,04/08/2017,
,30000207            ,PER,04/08/2017,
,30000208            ,PER,04/08/2017,
,30000209            ,PER,04/08/2017,
,30000210            ,PER,04/08/2017,
,30000211            ,PER,04/08/2017,
,30000212            ,PER,04/08/2017,
,30000213            ,PER,04/08/2017,
,30000214            ,PER,04/08/2017,
,30000215            ,PER,04/08/2017,
,30000216            ,PER,04/08/2017,
,30000217            ,PER,04/08/2017,
,30000218            ,PER,04/08/2017,
,30000219            ,PER,04/08/2017,
,30000220            ,PER,04/08/2017,
,30000221            ,PER,04/08/2017,
,30000222            ,PER,04/08/2017,
,30000223            ,PER,04/08/2017,
,30000224            ,PER,04/08/2017,
,30000225            ,PER,04/08/2017,
,30000226            ,PER,04/08/2017,
,30000227            ,PER,04/08/2017,
,30000228            ,PER,04/08/2017,
,30000229            ,PER,04/08/2017,
,30000230            ,PER,04/08/2017,
,30000231            ,PER,04/08/2017,
,30000232            ,PER,04/08/2017,
,30000233            ,PER,04/08/2017,
,30000234            ,PER,04/08/2017,
,30000235            ,PER,04/08/2017,
,30000236            ,PER,04/08/2017,
,30000237            ,PER,04/08/2017,
,30000238            ,PER,04/08/2017,
,30000239            ,PER,04/08/2017,
,30000240            ,PER,04/08/2017,
,30000241            ,PER,04/08/2017,
,30000242            ,PER,04/08/2017,
,30000243            ,PER,04/08/2017,
,30000245            ,PER,04/08/2017,
,30000246            ,PER,04/08/2017,
,30000247            ,PER,04/08/2017,
,30000248            ,PER,04/08/2017,
,30000249            ,PER,04/08/2017,
,30000250            ,PER,04/08/2017,
,30000251            ,PER,04/08/2017,
,30000252            ,PER,04/08/2017,
,30000253            ,PER,04/08/2017,
,30000254            ,PER,04/08/2017,
,30000255            ,PER,04/08/2017,
,30000257            ,PER,04/08/2017,
,30000258            ,PER,04/08/2017,
,30000260            ,PER,04/08/2017,
,30000261            ,PER,04/08/2017,
,30000262            ,PER,04/08/2017,
,30000263            ,PER,04/08/2017,
,30000264            ,PER,04/08/2017,
,30000265            ,PER,04/08/2017,
,30000266            ,PER,04/08/2017,
,30000267            ,PER,04/08/2017,
,30000268            ,PER,04/08/2017,
,30000269            ,PER,04/08/2017,
,30000270            ,PER,04/08/2017,
,30000271            ,PER,04/08/2017,
,30000272            ,PER,04/08/2017,
,30000273            ,PER,04/08/2017,
,30000274            ,PER,04/08/2017,
,30000275            ,PER,04/08/2017,
,30000276            ,PER,04/08/2017,
,30000277            ,PER,04/08/2017,
,30000278            ,PER,04/08/2017,
,30000279            ,PER,04/08/2017,
,30000280            ,PER,04/08/2017,
,30000281            ,PER,04/08/2017,
,30000282            ,PER,04/08/2017,
,30000283            ,PER,04/08/2017,
,30000284            ,PER,04/08/2017,
,30000285            ,PER,04/08/2017,
,30000286            ,PER,04/08/2017,
,30000287            ,PER,04/08/2017,
,30000288            ,PER,04/08/2017,
,30000289            ,PER,04/08/2017,
,30000291            ,PER,04/08/2017,
,30000292            ,PER,04/08/2017,
,30000293            ,PER,04/08/2017,
,30000294            ,PER,04/08/2017,
,30000295            ,PER,04/08/2017,
,30000296            ,PER,04/08/2017,
,30000297            ,PER,04/08/2017,
,30000298            ,PER,04/08/2017,
,30000299            ,PER,04/08/2017,
,30000300            ,PER,04/08/2017,
,30000301            ,PER,04/08/2017,
,30000302            ,PER,04/08/2017,
,30000303            ,PER,04/08/2017,
,30000304            ,PER,04/08/2017,
,30000305            ,PER,04/08/2017,
,30000306            ,PER,04/08/2017,
,30000307            ,PER,04/08/2017,
,30000308            ,PER,04/08/2017,
,30000309            ,PER,04/08/2017,
,30000310            ,PER,04/08/2017,
,30000311            ,PER,04/08/2017,
,30000312            ,PER,04/08/2017,
,30000313            ,PER,04/08/2017,
,30000314            ,PER,04/08/2017,
,30000315            ,PER,04/08/2017,
,30000316            ,PER,04/08/2017,
,30000317            ,PER,04/08/2017,
,30000318            ,PER,04/08/2017,
,30000319            ,PER,04/08/2017,
,30000320            ,PER,04/08/2017,
,30000321            ,PER,04/08/2017,
,30000322            ,PER,04/08/2017,
,30000323            ,PER,04/08/2017,
,30000324            ,PER,04/08/2017,
,30000325            ,PER,04/08/2017,
,30000326            ,PER,04/08/2017,
,30000327            ,PER,04/08/2017,
,30000328            ,PER,04/08/2017,
,30000329            ,PER,04/08/2017,
,30000330            ,PER,04/08/2017,
,30000331            ,PER,04/08/2017,
,30000332            ,PER,04/08/2017,
,30000333            ,PER,04/08/2017,
,30000334            ,PER,04/08/2017,
,30000335            ,PER,04/08/2017,
,30000336            ,PER,04/08/2017,
,30000337            ,PER,04/08/2017,
,30000338            ,PER,04/08/2017,
,30000339            ,PER,04/08/2017,
,30000340            ,PER,04/08/2017,
,30000341            ,PER,04/08/2017,
,30000342            ,PER,04/08/2017,
,30000343            ,PER,04/08/2017,
,30000344            ,PER,04/08/2017,
,30000345            ,PER,04/08/2017,
,30000346            ,PER,04/08/2017,
,30000347            ,PER,04/08/2017,
,30000348            ,PER,04/08/2017,
,30000349            ,PER,04/08/2017,
,30000350            ,PER,04/08/2017,
,30000351            ,PER,04/08/2017,
,30000352            ,PER,04/08/2017,
,30000353            ,PER,04/08/2017,
,30000354            ,PER,04/08/2017,
,30000355            ,PER,04/08/2017,
,30000356            ,PER,04/08/2017,
,30000357            ,PER,04/08/2017,
,30000358            ,PER,04/08/2017,
,30000359            ,PER,04/08/2017,
,30000361            ,PER,04/08/2017,
,30000362            ,PER,04/08/2017,
,30000363            ,PER,04/08/2017,
,30000364            ,PER,04/08/2017,
,30000365            ,PER,04/08/2017,
,30000366            ,PER,04/08/2017,
,30000367            ,PER,04/08/2017,
,30000368            ,PER,04/08/2017,
,30000369            ,PER,04/08/2017,
,30000370            ,PER,04/08/2017,
,30000371            ,PER,04/08/2017,
,30000372            ,PER,04/08/2017,
,30000373            ,PER,04/08/2017,
,30000374            ,PER,04/08/2017,
,30000375            ,PER,04/08/2017,
,30000376            ,PER,04/08/2017,
,30000377            ,PER,04/08/2017,
,30000378            ,PER,04/08/2017,
,30000379            ,PER,04/08/2017,
,30000380            ,PER,04/08/2017,
,30000381            ,PER,04/08/2017,
,30000382            ,PER,04/08/2017,
,30000383            ,PER,04/08/2017,
,30000384            ,PER,04/08/2017,
,30000385            ,PER,04/08/2017,
,30000386            ,PER,04/08/2017,
,30000387            ,PER,04/08/2017,
,30000388            ,PER,04/08/2017,
,30000391            ,PER,04/08/2017,
,30000392            ,PER,04/08/2017,
,30000393            ,PER,04/08/2017,
,30000395            ,PER,04/08/2017,
,30000397            ,PER,04/08/2017,
,30000398            ,PER,04/08/2017,
,30000399            ,PER,04/08/2017,
,30000400            ,PER,04/08/2017,
,30000401            ,PER,04/08/2017,
,30000402            ,PER,04/08/2017,
,30000403            ,PER,04/08/2017,
,30000404            ,PER,04/08/2017,
,30000406            ,PER,04/08/2017,
