PERNR,BEGDA,ENDDA,SUBTY,VSGES,VSNUM,VSTAR,
30000001            ,,,,,,1,
30000002            ,,,,,,1,
30000003            ,,,,,,1,
30000004            ,,,,,,1,
30000005            ,,,,,,1,
30000006            ,,,,,,1,
30000007            ,,,,,,1,
30000008            ,,,,,,1,
30000009            ,,,,,,1,
30000010            ,,,,,,1,
30000011            ,,,,,,1,
30000012            ,,,,,,1,
30000013            ,,,,,,1,
30000014            ,,,,,,1,
30000015            ,,,,,,1,
30000016            ,,,,,,1,
30000017            ,,,,,,1,
30000018            ,,,,,,1,
30000019            ,,,,,,1,
30000020            ,,,,,,1,
30000021            ,,,,,,1,
30000022            ,,,,,,1,
30000023            ,,,,,,1,
30000024            ,,,,,,1,
30000025            ,,,,,,1,
30000026            ,,,,,,1,
30000027            ,,,,,,1,
30000028            ,,,,,,1,
30000029            ,,,,,,1,
30000030            ,,,,,,1,
30000031            ,,,,,,1,
30000032            ,,,,,,1,
30000033            ,,,,,,1,
30000034            ,,,,,,1,
30000035            ,,,,,,1,
30000036            ,,,,,,1,
30000037            ,,,,,,1,
30000038            ,,,,,,1,
30000039            ,,,,,,1,
30000040            ,,,,,,1,
30000041            ,,,,,,1,
30000042            ,,,,,,1,
30000043            ,,,,,,1,
30000044            ,,,,,,1,
30000045            ,,,,,,1,
30000046            ,,,,,,1,
30000047            ,,,,,,1,
30000048            ,,,,,,1,
30000049            ,,,,,,1,
30000050            ,,,,,,1,
30000051            ,,,,,,1,
30000052            ,,,,,,1,
30000053            ,,,,,,1,
30000054            ,,,,,,1,
30000055            ,,,,,,1,
30000056            ,,,,,,1,
30000057            ,,,,,,1,
30000058            ,,,,,,1,
30000059            ,,,,,,1,
30000060            ,,,,,,1,
30000061            ,,,,,,1,
30000062            ,,,,,,1,
30000063            ,,,,,,1,
30000064            ,,,,,,1,
30000065            ,,,,,,1,
30000066            ,,,,,,1,
30000067            ,,,,,,1,
30000068            ,,,,,,1,
30000069            ,,,,,,1,
30000070            ,,,,,,1,
30000071            ,,,,,,1,
30000072            ,,,,,,1,
30000073            ,,,,,,1,
30000074            ,,,,,,1,
30000075            ,,,,,,1,
30000076            ,,,,,,1,
30000077            ,,,,,,1,
30000078            ,,,,,,1,
30000079            ,,,,,,1,
30000080            ,,,,,,1,
30000081            ,,,,,,1,
30000082            ,,,,,,1,
30000083            ,,,,,,1,
30000084            ,,,,,,1,
30000085            ,,,,,,1,
30000086            ,,,,,,1,
30000087            ,,,,,,1,
30000088            ,,,,,,1,
30000089            ,,,,,,1,
30000090            ,,,,,,1,
30000091            ,,,,,,1,
30000092            ,,,,,,1,
30000093            ,,,,,,1,
30000094            ,,,,,,1,
30000095            ,,,,,,1,
30000096            ,,,,,,1,
30000097            ,,,,,,1,
30000098            ,,,,,,1,
30000099            ,,,,,,1,
30000100            ,,,,,,1,
30000101            ,,,,,,1,
30000102            ,,,,,,1,
30000103            ,,,,,,1,
30000104            ,,,,,,1,
30000105            ,,,,,,1,
30000106            ,,,,,,1,
30000107            ,,,,,,1,
30000108            ,,,,,,1,
30000109            ,,,,,,1,
30000110            ,,,,,,1,
30000111            ,,,,,,1,
30000112            ,,,,,,1,
30000113            ,,,,,,1,
30000114            ,,,,,,1,
30000115            ,,,,,,1,
30000116            ,,,,,,1,
30000117            ,,,,,,1,
30000118            ,,,,,,1,
30000119            ,,,,,,1,
30000120            ,,,,,,1,
30000121            ,,,,,,1,
30000122            ,,,,,,1,
30000123            ,,,,,,1,
30000124            ,,,,,,1,
30000125            ,,,,,,1,
30000126            ,,,,,,1,
30000127            ,,,,,,1,
30000128            ,,,,,,1,
30000129            ,,,,,,1,
30000130            ,,,,,,1,
30000131            ,,,,,,1,
30000132            ,,,,,,1,
30000133            ,,,,,,1,
30000134            ,,,,,,1,
30000135            ,,,,,,1,
