PERNR,SUBTY,BEGDA,ENDDA,DATBW,DARBT,DBTCU,DKOND,TILBG,TILBT,TILCU,ZAHLD01,ZAHLA01,
30000229            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30000251            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30000305            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30000318            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30000332            ,EQM,10/07/2017, ,10/07/2017,314.4900,PEN,01, ,52.4200,PEN,,0150,
30000412            ,EQM,28/06/2017, ,28/06/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30000413            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30000445            ,EQM,10/07/2017, ,10/07/2017,1371.3400,PEN,01, ,137.1300,PEN,,0150,
30000453            ,EQM,26/07/2017, ,26/07/2017,72.0000,PEN,01, ,24.0000,PEN,,0150,
30000561            ,EQM,31/05/2017, ,31/05/2017,72.0000,PEN,01, ,0.0000,PEN,,0150,
30000562            ,EQM,16/06/2017, ,16/06/2017,88.0000,PEN,01, ,44.0000,PEN,,0150,
30000618            ,EQM,21/06/2017, ,21/06/2017,88.0000,PEN,01, ,58.6600,PEN,,0150,
30000676            ,EQM,21/07/2017, ,21/07/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30000697            ,EQM,25/07/2017, ,25/07/2017,32.0000,PEN,01, ,0.0000,PEN,,0150,
30000749            ,EQM,25/07/2017, ,25/07/2017,24.2000,PEN,01, ,0.0000,PEN,,0150,
30000753            ,EQM,04/07/2017, ,04/07/2017,88.0000,PEN,01, ,44.0000,PEN,,0150,
30000783            ,ADG,09/08/2017, ,09/08/2017,1750.0000,PEN,01, ,0.0000,PEN,,0150,
30000795            ,PER,09/08/2017, ,09/08/2017,1500.0000,PEN,01, ,0.0000,PEN,,0150,
30000831            ,EQM,13/06/2017, ,13/06/2017,252.0000,PEN,01, ,126.0000,PEN,,0150,
30000877            ,EQM,21/07/2017, ,21/07/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30000878            ,EQM,21/07/2017, ,21/07/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30000997            ,PER,26/07/2017, ,26/07/2017,500.0000,PEN,01, ,100.0000,PEN,,0150,
30001013            ,EQM,16/05/2017, ,16/05/2017,120.0000,PEN,01, ,90.0000,PEN,,0150,
30001013            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30001039            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30001075            ,PER,26/07/2017, ,26/07/2017,100.0000,PEN,01, ,0.0000,PEN,,0150,
30001077            ,EQM,21/07/2017, ,21/07/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30001086            ,EQM,25/07/2017, ,25/07/2017,15.0000,PEN,01, ,0.0000,PEN,,0150,
30001098            ,EQM,25/07/2017, ,25/07/2017,14.0000,PEN,01, ,0.0000,PEN,,0150,
30001109            ,EQM,23/06/2017, ,23/06/2017,72.0000,PEN,01, ,48.0000,PEN,,0150,
30001116            ,PER,21/07/2017, ,21/07/2017,550.0000,PEN,01, ,91.6700,PEN,,0150,
30001124            ,PER,21/07/2017, ,21/07/2017,100.0000,PEN,01, ,0.0000,PEN,,0150,
30001137            ,EQM,04/07/2017, ,04/07/2017,88.0000,PEN,01, ,22.0000,PEN,,0150,
30001149            ,PER,21/07/2017, ,21/07/2017,100.0000,PEN,01, ,0.0000,PEN,,0150,
30001187            ,EQM,23/06/2017, ,23/06/2017,88.0000,PEN,01, ,58.6600,PEN,,0150,
30001189            ,EQM,23/06/2017, ,23/06/2017,72.0000,PEN,01, ,48.0000,PEN,,0150,
30001193            ,EQM,21/07/2017, ,21/07/2017,88.0000,PEN,01, ,29.3300,PEN,,0150,
30001214            ,PER,26/07/2017, ,26/07/2017,600.0000,PEN,01, ,0.0000,PEN,,0150,
30001235            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30001250            ,EQM,25/07/2017, ,25/07/2017,4.5000,PEN,01, ,0.0000,PEN,,0150,
30001273            ,PER,19/05/2017, ,19/05/2017,400.0000,PEN,01, ,133.3400,PEN,,0150,
30001278            ,EQM,25/07/2017, ,25/07/2017,32.0000,PEN,01, ,0.0000,PEN,,0150,
30001291            ,EQM,25/07/2017, ,25/07/2017,15.0000,PEN,01, ,0.0000,PEN,,0150,
