PERNR,KTART_01,ANZHL,BEGDA_01,ENDDA_01,DESTA_01,DEEND_01,
30000001            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000002            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000003            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000004            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000005            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000006            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000007            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000008            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000009            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000010            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000011            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000012            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000013            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000014            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000015            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000016            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000017            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000019            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000020            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000022            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000023            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000024            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000025            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000026            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000027            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000028            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000030            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000031            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000032            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000033            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000034            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000035            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000036            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000037            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000038            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000039            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000040            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000041            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000042            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000043            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000045            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000046            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000047            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000048            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000049            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000050            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000051            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000052            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000053            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000054            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000056            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000057            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000058            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000059            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000060            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000061            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000062            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000063            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000064            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000065            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000066            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000067            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000068            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000069            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000070            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000071            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000072            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000073            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000075            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000077            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000078            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000080            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000081            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000082            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000083            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000084            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000085            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000086            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000087            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000088            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000089            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000090            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000091            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000092            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000093            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000094            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000095            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000096            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000097            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000098            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000100            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000102            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000103            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000104            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000105            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000106            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000107            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000109            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000110            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000111            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000113            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000114            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000115            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000117            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000118            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000119            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000120            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000122            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000123            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000124            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000125            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000126            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000127            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000128            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000129            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000130            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000131            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000132            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000133            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000134            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000135            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000136            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000137            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000138            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000139            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000140            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000141            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000142            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000143            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000144            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000145            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000146            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000147            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000148            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000149            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000150            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000151            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000152            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000153            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000154            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000155            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000156            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000157            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000158            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000159            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000162            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000163            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000164            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000165            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000166            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000167            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000169            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000170            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000171            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000172            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000173            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000174            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000175            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000176            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000177            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000178            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000179            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000180            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000181            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000182            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000183            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000184            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000185            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000186            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000187            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000188            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000189            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000190            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000191            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000192            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000193            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000194            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000195            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000196            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000197            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000198            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000199            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000200            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000201            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000202            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000203            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000204            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000205            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000206            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000207            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000208            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000209            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000210            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000211            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000212            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000213            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000214            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000215            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000216            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000217            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000218            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000219            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000220            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000221            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000222            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000223            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000224            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000225            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000226            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000227            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000228            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000229            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000230            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000231            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000232            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000233            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000234            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000235            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000236            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000237            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000238            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000239            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000240            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000241            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000242            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000243            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000245            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000246            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000247            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000248            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000249            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000250            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000251            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000252            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000253            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000254            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000255            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000257            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000258            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000260            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000261            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000262            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000263            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000264            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000265            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000266            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000267            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000268            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000269            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000270            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000271            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000272            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000273            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000274            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000275            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000276            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000277            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000278            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000279            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000280            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000281            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000282            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000283            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000284            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000285            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000286            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000288            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000289            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000291            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000292            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000293            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000294            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000295            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000296            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000297            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000298            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000299            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000300            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000301            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000302            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000303            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000304            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000305            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000306            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000307            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000308            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000309            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000310            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000311            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000312            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000313            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000314            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000315            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000316            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000317            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000318            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000319            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000320            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000321            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000322            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000323            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000324            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000325            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000326            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000327            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000328            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000329            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000330            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000331            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000332            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000333            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000334            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000335            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000336            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000337            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000338            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000339            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
30000340            ,70,20,01/01/2018,31/01/2018,01/01/2018,31/01/2018,
