PERNR,KTART_01,BEGDA_01,ENDDA_01,DESTA_01,DEEND_01,ANZHL,
30000196            ,90,05/07/2017,04/07/2018,05/07/2018,04/07/2019,3.0000,
30000196            ,90,05/07/2018,04/07/2019,05/07/2019,04/07/2020,3.0000,
30000224            ,90,27/06/2017,26/06/2018,27/06/2018,26/06/2019,2.0000,
30000224            ,90,27/06/2018,26/06/2019,27/06/2019,26/06/2020,2.0000,
30000275            ,90,20/06/2017,19/06/2018,20/06/2018,19/06/2019,1.0000,
30000275            ,90,20/06/2018,19/06/2019,20/06/2019,19/06/2020,1.0000,
30000307            ,90,13/06/2017,12/06/2018,13/06/2018,12/06/2019,2.0000,
30000307            ,90,13/06/2018,12/06/2019,13/06/2019,12/06/2020,1.0000,
30000307            ,90,13/06/2019,12/06/2020,13/06/2020,12/06/2021,2.0000,
30000307            ,90,13/06/2020,12/06/2021,13/06/2021,12/06/2022,1.0000,
30000319            ,90,13/06/2017,12/06/2018,13/06/2018,12/06/2019,2.0000,
30000319            ,90,13/06/2018,12/06/2019,13/06/2019,12/06/2020,2.0000,
30000402            ,90,16/05/2017,15/05/2018,16/05/2018,15/05/2019,1.0000,
30000402            ,90,16/05/2018,15/05/2019,16/05/2019,15/05/2020,1.0000,
30000420            ,90,16/05/2017,15/05/2018,16/05/2018,15/05/2019,1.0000,
30000420            ,90,16/05/2018,15/05/2019,16/05/2019,15/05/2020,1.0000,
30000423            ,90,16/05/2017,15/05/2018,16/05/2018,15/05/2019,1.0000,
30000423            ,90,16/05/2018,15/05/2019,16/05/2019,15/05/2020,1.0000,
30000446            ,90,10/05/2017,09/05/2018,10/05/2018,09/05/2019,1.0000,
30000446            ,90,10/05/2018,09/05/2019,10/05/2019,09/05/2020,1.0000,
30000450            ,90,10/05/2017,09/05/2018,10/05/2018,09/05/2019,2.0000,
30000450            ,90,10/05/2018,09/05/2019,10/05/2019,09/05/2020,5.0000,
30000450            ,90,10/05/2019,09/05/2020,10/05/2020,09/05/2021,2.0000,
30000450            ,90,10/05/2020,09/05/2021,10/05/2021,09/05/2022,5.0000,
30000472            ,90,10/05/2017,09/05/2018,10/05/2018,09/05/2019,1.0000,
30000472            ,90,10/05/2018,09/05/2019,10/05/2019,09/05/2020,1.0000,
30000561            ,90,03/05/2017,02/05/2018,03/05/2018,02/05/2019,4.0000,
30000561            ,90,03/05/2018,02/05/2019,03/05/2019,02/05/2020,4.0000,
30000563            ,90,03/05/2017,02/05/2018,03/05/2018,02/05/2019,1.0000,
30000563            ,90,03/05/2018,02/05/2019,03/05/2019,02/05/2020,1.0000,
30000563            ,90,03/05/2019,02/05/2020,03/05/2020,02/05/2021,1.0000,
30000563            ,90,03/05/2020,02/05/2021,03/05/2021,02/05/2022,1.0000,
30000586            ,90,26/04/2017,25/04/2018,26/04/2018,25/04/2019,16.0000,
30000586            ,90,26/04/2018,25/04/2019,26/04/2019,25/04/2020,14.0000,
30000586            ,90,26/04/2019,25/04/2020,26/04/2020,25/04/2021,13.0000,
30000586            ,90,26/04/2020,25/04/2021,26/04/2021,25/04/2022,2.0000,
30000586            ,90,26/04/2021,25/04/2022,26/04/2022,25/04/2023,15.0000,
30000586            ,90,26/04/2022,25/04/2023,26/04/2023,25/04/2024,16.0000,
30000586            ,90,26/04/2023,25/04/2024,26/04/2024,25/04/2025,14.0000,
30000586            ,90,26/04/2024,25/04/2025,26/04/2025,25/04/2026,13.0000,
30000586            ,90,26/04/2025,25/04/2026,26/04/2026,25/04/2027,2.0000,
30000586            ,90,26/04/2026,25/04/2027,26/04/2027,25/04/2028,15.0000,
30000590            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,2.0000,
30000590            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,1.0000,
30000590            ,90,25/04/2019,24/04/2020,25/04/2020,24/04/2021,2.0000,
30000590            ,90,25/04/2020,24/04/2021,25/04/2021,24/04/2022,1.0000,
30000600            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,3.0000,
30000600            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,3.0000,
30000602            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,1.0000,
30000602            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,3.0000,
30000602            ,90,25/04/2019,24/04/2020,25/04/2020,24/04/2021,1.0000,
30000602            ,90,25/04/2020,24/04/2021,25/04/2021,24/04/2022,3.0000,
30000605            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,1.0000,
30000605            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,1.0000,
30000605            ,90,25/04/2019,24/04/2020,25/04/2020,24/04/2021,1.0000,
30000605            ,90,25/04/2020,24/04/2021,25/04/2021,24/04/2022,1.0000,
30000606            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,2.0000,
30000606            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,2.0000,
30000613            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,1.0000,
30000613            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,1.0000,
30000618            ,90,25/04/2017,24/04/2018,25/04/2018,24/04/2019,4.0000,
30000618            ,90,25/04/2018,24/04/2019,25/04/2019,24/04/2020,4.0000,
30000653            ,90,18/04/2017,17/04/2018,18/04/2018,17/04/2019,1.0000,
30000653            ,90,18/04/2018,17/04/2019,18/04/2019,17/04/2020,1.0000,
30000656            ,90,18/04/2017,17/04/2018,18/04/2018,17/04/2019,1.0000,
30000656            ,90,18/04/2018,17/04/2019,18/04/2019,17/04/2020,1.0000,
30000676            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,2.0000,
30000676            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,1.0000,
30000676            ,90,11/04/2019,10/04/2020,11/04/2020,10/04/2021,6.0000,
30000676            ,90,11/04/2020,10/04/2021,11/04/2021,10/04/2022,2.0000,
30000676            ,90,11/04/2021,10/04/2022,11/04/2022,10/04/2023,1.0000,
30000676            ,90,11/04/2022,10/04/2023,11/04/2023,10/04/2024,6.0000,
30000679            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,2.0000,
30000679            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,2.0000,
30000679            ,90,11/04/2019,10/04/2020,11/04/2020,10/04/2021,2.0000,
30000679            ,90,11/04/2020,10/04/2021,11/04/2021,10/04/2022,2.0000,
30000684            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,7.0000,
30000684            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,7.0000,
30000688            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,1.0000,
30000688            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,3.0000,
30000688            ,90,11/04/2019,10/04/2020,11/04/2020,10/04/2021,1.0000,
