PERNR,SUBTY,BEGDA,ENDDA,ANZHL,
30000001            ,,19/07/2017,,,
30000002            ,,19/07/2017,,,
30000003            ,,19/07/2017,,,
30000004            ,,19/07/2017,,,
30000005            ,,19/07/2017,,,
30000006            ,,19/07/2017,,,
30000007            ,,19/07/2017,,,
30000008            ,,19/07/2017,,,
30000009            ,,19/07/2017,,,
30000010            ,,19/07/2017,,,
30000011            ,,19/07/2017,,,
30000012            ,,19/07/2017,,,
30000013            ,,19/07/2017,,,
30000014            ,,19/07/2017,,,
30000015            ,,19/07/2017,,,
30000016            ,,19/07/2017,,,
30000017            ,,18/07/2017,,,
30000019            ,,18/07/2017,,,
30000020            ,,18/07/2017,,,
30000022            ,,18/07/2017,,,
30000023            ,,18/07/2017,,,
30000024            ,,18/07/2017,,,
30000025            ,,18/07/2017,,,
30000026            ,,18/07/2017,,,
30000027            ,,18/07/2017,,,
30000028            ,,18/07/2017,,,
30000030            ,,18/07/2017,,,
30000031            ,,18/07/2017,,,
30000032            ,,18/07/2017,,,
30000033            ,,18/07/2017,,,
30000034            ,,18/07/2017,,,
30000035            ,,18/07/2017,,,
30000036            ,,18/07/2017,,,
30000037            ,,18/07/2017,,,
30000038            ,,18/07/2017,,,
30000039            ,,18/07/2017,,,
30000040            ,,18/07/2017,,,
30000041            ,,18/07/2017,,,
30000042            ,,18/07/2017,,,
30000043            ,,18/07/2017,,,
30000045            ,,18/07/2017,,,
30000046            ,,18/07/2017,,,
30000047            ,,18/07/2017,,,
30000048            ,,18/07/2017,,,
30000049            ,,18/07/2017,,,
30000050            ,,18/07/2017,,,
30000051            ,,18/07/2017,,,
30000052            ,,18/07/2017,,,
30000053            ,,18/07/2017,,,
30000054            ,,18/07/2017,,,
30000056            ,,18/07/2017,,,
30000057            ,,18/07/2017,,,
30000058            ,,18/07/2017,,,
30000059            ,,18/07/2017,,,
30000060            ,,18/07/2017,,,
30000061            ,,18/07/2017,,,
30000062            ,,18/07/2017,,,
30000063            ,,11/07/2017,,1 m  1d,
30000064            ,,12/07/2017,,1 m  0d,
30000065            ,,12/07/2017,,1 m  0d,
30000066            ,,12/07/2017,,1 m  0d,
30000067            ,,12/07/2017,,1 m  0d,
30000068            ,,11/07/2017,,1 m  1d,
30000069            ,,11/07/2017,,1 m  1d,
30000070            ,,12/07/2017,,1 m  0d,
30000071            ,,11/07/2017,,1 m  1d,
30000072            ,,11/07/2017,,1 m  1d,
30000073            ,,11/07/2017,,1 m  1d,
30000075            ,,11/07/2017,,1 m  1d,
30000078            ,,11/07/2017,,1 m  1d,
30000080            ,,11/07/2017,,1 m  1d,
30000081            ,,11/07/2017,,1 m  1d,
