[OPERATOR],externalCode,name.en_US,name.defaultValue,name.es_ES,name.en_DEBUG,description.en_US,description.defaultValue,description.es_ES,description.en_DEBUG,effectiveStatus,effectiveStartDate
,30000000,,GTE GENERAL,GTE GENERAL,,,,,,A,01/01/1900
,30000001,,GERENTE 1RA,GERENTE 1RA,,,,,,A,01/01/1900
,30000002,,GERENTE 2DA,GERENTE 2DA,,,,,,A,01/01/1900
,30000003,,GERENTE 3RA,GERENTE 3RA,,,,,,A,01/01/1900
,30000004,,JEFE,JEFE,,,,,,A,01/01/1900
,30000005,,SUPER / COORD,SUPER / COORD,,,,,,A,01/01/1900
,30000006,,ANALISTA,ANALISTA,,,,,,A,01/01/1900
,30000007,,ASISTENTE,ASISTENTE,,,,,,A,01/01/1900
,30000008,,AUXILIAR-ADM,AUXILIAR-ADM,,,,,,A,01/01/1900
,30000009,,SUPER GRAL,SUPER GRAL,,,,,,A,01/01/1900
,30000010,,SUPERVISOR,SUPERVISOR,,,,,,A,01/01/1900
,30000011,,OPERADORES,OPERADORES,,,,,,A,01/01/1900
,30000012,,AUXILIAR-OPE,AUXILIAR-OPE,,,,,,A,01/01/1900
